country,Land_Area_sqkm,HealthExp,GDPpc
Afghanistan,653000,9.39572716,530.4816203
Albania,27400,5.26271439,5223.808239
Algeria,2380000,6.2184267,4114.697215
Andorra,470,6.71033096,42051.59526
Angola,1250000,2.54900527,3437.292488
Antigua_and_Barbuda,440,5.23155928,16728.71176
Argentina,2740000,9.62454033,11719.0754
Armenia,28500,10.02538967,4212.132551
Australia,7690000,9.28459835,58433.76702
Austria,82500,10.32559872,51584.77781
Azerbaijan,82700,3.51373243,4717.702227
Bahamas,10000,6.24896193,32219.41878
Bahrain,778,4.13356352,24051.37955
Bangladesh,130000,2.3428061,1788.840079
Barbados,430,6.56259155,17745.19347
Belarus,203000,5.64426613,6311.72805
Belgium,30300,10.31865311,47609.90172
Belize,22800,5.69105911,5025.1781
Benin,113000,2.49141979,1241.824378
Bhutan,38100,3.0574255,3360.295296
Bolivia,1080000,6.30102587,3548.594652
Bosnia_and_Herzegovina,51200,2.41291642,31627.81988
Botswana,567000,5.84825039,8258.248398
Brazil,8360000,9.51438713,8916.905036
Brunei_Darussalam,5270,#N/A,#N/A
Bulgaria,109000,7.34667873,9390.71221
Burkina_Faso,274000,5.62852383,715.0978506
Burundi,25700,7.74165535,310.3402492
Cambodia,177000,6.02654314,1502.62403
Cameroon,473000,3.52989626,1533.742646
Canada,9090000,10.79046917,46289.94075
Cape_Verde,4030,5.35998297,3635.4009
Central_African_Republic,623000,10.99253082,488.1875097
Chad,1260000,4.09880257,713.3428246
Chile,744000,9.14051342,15924.79424
China,9390000,5.35107994,9363.705242
Colombia,1110000,7.63980007,6716.912748
Comoros,1860,4.58884811,1421.440674
Democratic_Republic_of_the_Congo,2270000,3.30075741,560.8073416
Congo,342000,2.13848233,2222.031615
Costa_Rica,51100,7.56336021,12027.36598
Cote_dIvoire,318000,4.19003773,1715.531229
Croatia,56000,6.82702351,14855.99614
Cuba,104000,11.18745422,8821.822004
Cyprus,9240,6.76976299,28869.64771
Czechia,77200,7.64651203,23090.1165
Denmark,42000,10.0707159,61731.14666
Djibouti,23200,2.32438445,3048.589483
Dominica,750,6.59153605,7446.189645
Dominican_Republic,48300,5.73298407,8050.650226
Ecuador,248000,8.13646507,6344.868212
Egypt,995000,4.947577,2537.512252
El_Salvador,20700,7.10940361,4058.251175
Equatorial_Guinea,28100,2.99830961,10482.53294
Eritrea,101000,4.09255791,581.202019
Estonia,43500,6.6878767,23220.6534
Eswatini,17200,6.54034519,4145.653556
Ethiopia,1000000,3.29555655,735.114624
Fiji,18300,3.42366552,6266.786013
Finland,304000,9.037323,49966.98028
France,548000,11.25789452,41660.29559
Gabon,258000,2.74503946,7955.026358
Gambia,10100,3.09379649,716.1243531
Georgia,69500,7.11329746,4396.651824
Germany,349000,11.42995071,47875.99241
Ghana,228000,3.53888083,2201.583937
Greece,129000,7.71544075,20308.62401
Grenada,340,4.46386862,10630.52753
Guatemala,107000,5.70716429,4549.021975
Guinea,246000,3.93172431,974.5760608
Guinea_Bissau,28100,6.99553871,761.83659
Guyana,197000,5.93609333,4978.996384
Haiti,27600,7.69460344,834.9471764
Honduras,112000,7.04958153,2500.109818
Hungary,90500,6.70007229,16146.13647
Iceland,100000,8.46930885,77112.92848
India,2970000,3.544245,2055.008419
Indonesia,1810000,2.87053037,3890.497733
Iran,1630000,8.66168594,5591.135449
Iraq,434000,4.1062417,5830.466668
Ireland,68900,6.92870378,79222.18532
Israel,21600,7.51703548,44214.91174
Italy,294000,8.66763401,34484.56471
Jamaica,10800,6.06135607,5295.453913
Japan,365000,10.95338821,38952.2111
Jordan,88800,7.79041338,4237.796235
Kazakhstan,2700000,2.92212725,9440.198613
Kenya,569000,5.16729498,1710.474694
Kuwait,17800,4.99920797,34229.89047
Kyrgyzstan,192000,6.53458309,1312.036023
Laos,231000,2.24630332,2542.486428
Latvia,62200,6.18923044,17796.92159
Lebanon,10200,8.35297012,8218.247953
Lesotho,30400,9.28354836,1344.202325
Liberia,96300,6.73955679,674.0025312
Libya,1760000,#N/A,#N/A
Liechtenstein,160,#N/A,#N/A
Lithuania,62600,6.56775236,19021.036
Luxembourg,2430,5.28587103,117806.2145
Madagascar,582000,4.78956461,460.370791
Malawi,94300,9.33423615,380.3012564
Malaysia,329000,3.7562995,11373.34751
Maldives,300,9.41152477,10344.09324
Mali,1220000,3.8849268,899.6735639
Malta,320,8.96454525,30715.56687
Marshall_Islands,180,17.55299377,3663.568041
Mauritania,1030000,4.58039093,1189.630504
Mauritius,2030,5.82624388,11213.8669
Mexico,1940000,5.37147474,9673.422569
Micronesia_(Federated_States_of),700,12.59075356,3302.556818
Moldova,32900,6.59544849,3229.050986
Monaco,,1.59738493,185835.0157
Mongolia,1550000,3.78789377,4094.4566
Montenegro,13500,8.4230423,8684.293203
Morocco,446000,5.31261539,3289.939672
Mozambique,786000,8.17430115,492.5670768
Myanmar,653000,4.79125547,1235.710796
Namibia,823000,7.95077181,5930.061916
Nepal,143000,5.84083414,990.3818718
Netherlands,33700,9.97458649,53200.5477
New_Zealand,263000,9.21034622,43836.16264
Nicaragua,120000,8.56453705,2028.90263
Niger,1270000,7.33380175,413.9542293
Nigeria,911000,3.88990784,2153.097609
North_Macedonia,25200,6.58288956,6062.643006
Norway,365000,10.0493927,81985.99926
Oman,310000,4.13171434,16415.24512
Pakistan,771000,3.20193386,1338.976152
Palestine,6020,#N/A,#N/A
Panama,74300,7.26584625,15575.06352
Papua_New_Guinea,453000,2.36706114,2693.968627
Paraguay,397000,6.65451145,6016.861186
Peru,1280000,5.23800182,7046.169557
Philippines,298000,4.40060663,3102.726941
Poland,306000,6.33085012,15459.78294
Portugal,91600,9.40783501,23546.04854
Qatar,11600,2.49480486,68793.56013
Romania,230000,5.55660582,12368.24045
Russia,16400000,5.31590033,11456.36823
Rwanda,24700,7.54268694,773.0470998
San_Marino,60,7.14421701,48482.57805
Sao_Tome_and_Principe,960,6.26645994,2001.136271
Saudi_Arabia,2150000,6.3615365,23337.0272
Senegal,193000,3.97799659,1480.735544
Serbia,87500,8.53899002,7226.6934
Seychelles,460,5.11036491,16301.75124
Sierra_Leone,72200,16.06307983,533.9914543
Singapore,709,4.46444654,63247.21524
Slovakia,48100,6.68639565,19441.14008
Slovenia,20100,8.29891014,26142.93823
Solomon_Islands,28000,4.47443104,2122.365549
Somalia,627000,#N/A,#N/A
South_Africa,1210000,8.25342083,6372.592985
South_Korea,97500,7.56259203,33623.63623
Spain,500000,8.97741413,30480.08179
Sri_Lanka,62700,3.75841475,4189.687941
Saint_Kitts_and_Nevis,260,5.31148005,18687.66805
Saint_Lucia,610,4.39812708,10566.0697
Saint_Vincent_and_the_Grenadines,390,4.47178459,7362.980841
Suriname,156000,7.96947193,5949.284754
Sweden,407000,10.8985014,54885.58404
Switzerland,39500,11.87620926,83112.925
Syria,184000,#N/A,#N/A
Tajikistan,139000,7.2394805,826.6217122
United_Republic_of_Tanzania,886000,3.62868047,1014.771498
Thailand,511000,3.79303908,7274.285077
Togo,54400,6.16532087,678.5822478
Trinidad_and_Tobago,5130,6.93182945,16206.74283
Tunisia,155000,7.29209566,3449.581006
Turkey,770000,4.12414074,9453.255138
Uganda,201000,6.52623558,660.991775
Ukraine,579000,7.72391653,2956.920696
United_Arab_Emirates,71000,4.22590351,43004.94982
United_Kingdom,242000,9.99696255,43167.38808
United_States_of_America,9150000,16.88529778,62917.74617
Uruguay,175000,9.20269966,17278.06205
Uzbekistan,425000,5.29149055,1554.746481
Vanuatu,12200,3.37372637,3123.892405
Venezuela,882000,3.56269026,7212.158554
Vietnam,310000,5.91789675,2563.176009
Yemen,528000,#N/A,#N/A
Zambia,743000,4.93484306,1539.902809
Zimbabwe,387000,4.73433113,2963.888555
